instance_index,explanation,explanation_map
50,"[('dem > 0.41', -0.09820939646600359), ('nwdi <= -0.77', -0.061629826553097115), ('slope > -0.28', -0.054550271888283056), ('tri <= -0.68', -0.03043683112893844), ('ndvi > 0.69', -0.019022332275944284)]","{1: [(8, -0.09820939646600359), (1, -0.061629826553097115), (4, -0.054550271888283056), (6, -0.03043683112893844), (0, -0.019022332275944284)]}"
51,"[('dem > 0.41', -0.10434441829907579), ('tri > 0.90', 0.07748835448791064), ('slope <= -0.28', 0.05273636484914163), ('0.08 < nwdi <= 0.72', 0.03893841895811547), ('soils > 1.32', 0.01941079002751951)]","{1: [(8, -0.10434441829907579), (6, 0.07748835448791064), (4, 0.05273636484914163), (1, 0.03893841895811547), (5, 0.01941079002751951)]}"
52,"[('aspect > 0.94', 0.11189090942525383), ('dem > 0.41', -0.10490352421180506), ('nwdi <= -0.77', -0.06376234092267803), ('slope > -0.28', -0.05495629733029239), ('ndvi > 0.69', -0.02649765589640701)]","{1: [(7, 0.11189090942525383), (8, -0.10490352421180506), (1, -0.06376234092267803), (4, -0.05495629733029239), (0, -0.02649765589640701)]}"
53,"[('dem > 0.41', -0.10331883181847631), ('nwdi <= -0.77', -0.062462764547431396), ('slope > -0.28', -0.061444580513049435), ('ndvi > 0.69', -0.024351599136583798), ('0.05 < tri <= 0.90', 0.008490207104124637)]","{1: [(8, -0.10331883181847631), (1, -0.062462764547431396), (4, -0.061444580513049435), (0, -0.024351599136583798), (6, 0.008490207104124637)]}"
54,"[('dem > 0.41', -0.0993118660910585), ('nwdi <= -0.77', -0.06700245231847864), ('slope <= -0.28', 0.05299293856422779), ('aspect <= -0.70', -0.036947132421114144), ('-0.14 < ndvi <= 0.69', 0.03112125200053598)]","{1: [(8, -0.0993118660910585), (1, -0.06700245231847864), (4, 0.05299293856422779), (7, -0.036947132421114144), (0, 0.03112125200053598)]}"
55,"[('aspect > 0.94', 0.10288890419294622), ('dem > 0.41', -0.09844689462132052), ('nwdi <= -0.77', -0.06384963952911123), ('slope > -0.28', -0.06176810907552916), ('tri <= -0.68', -0.03943098743815271)]","{1: [(7, 0.10288890419294622), (8, -0.09844689462132052), (1, -0.06384963952911123), (4, -0.06176810907552916), (6, -0.03943098743815271)]}"
56,"[('dem > 0.41', -0.10198562691814751), ('nwdi <= -0.77', -0.06791213850539475), ('slope > -0.28', -0.060528258572520616), ('-0.75 < soils <= 1.32', 0.02982658500664136), ('ndvi > 0.69', -0.029482539998756146)]","{1: [(8, -0.10198562691814751), (1, -0.06791213850539475), (4, -0.060528258572520616), (5, 0.02982658500664136), (0, -0.029482539998756146)]}"
57,"[('aspect > 0.94', 0.11103662452678703), ('dem > 0.41', -0.10440647866122355), ('tri > 0.90', 0.09024401508518134), ('nwdi <= -0.77', -0.05947620534754385), ('slope > -0.28', -0.058703637364479644)]","{1: [(7, 0.11103662452678703), (8, -0.10440647866122355), (6, 0.09024401508518134), (1, -0.05947620534754385), (4, -0.058703637364479644)]}"
58,"[('dem > 0.41', -0.10418420481337066), ('tri > 0.90', 0.08315320217868259), ('slope <= -0.28', 0.05457102797710652), ('-0.75 < soils <= 1.32', 0.03266379941142357), ('-0.77 < nwdi <= 0.08', -0.01530221169877111)]","{1: [(8, -0.10418420481337066), (6, 0.08315320217868259), (4, 0.05457102797710652), (5, 0.03266379941142357), (1, -0.01530221169877111)]}"
59,"[('dem > 0.41', -0.10210468408291644), ('slope <= -0.28', 0.05784229842137781), ('aspect <= -0.70', -0.04304138232372059), ('-0.77 < nwdi <= 0.08', -0.023285123832032042), ('-0.56 < geology <= 1.00', -0.02098670768304635)]","{1: [(8, -0.10210468408291644), (4, 0.05784229842137781), (7, -0.04304138232372059), (1, -0.023285123832032042), (3, -0.02098670768304635)]}"
60,"[('dem > 0.41', -0.10133984149466753), ('tri > 0.90', 0.08120073235665942), ('nwdi <= -0.77', -0.0697868748790309), ('slope <= -0.28', 0.05458876036968138), ('-0.82 < distancefromriver <= -0.43', 0.05135711234841161)]","{1: [(8, -0.10133984149466753), (6, 0.08120073235665942), (1, -0.0697868748790309), (4, 0.05458876036968138), (2, 0.05135711234841161)]}"
61,"[('dem > 0.41', -0.10091658736588038), ('slope > -0.28', -0.05870544786523204), ('tri <= -0.68', -0.043483198990291044), ('0.08 < nwdi <= 0.72', 0.0384161073243393), ('-0.75 < soils <= 1.32', 0.03418119913909348)]","{1: [(8, -0.10091658736588038), (4, -0.05870544786523204), (6, -0.043483198990291044), (1, 0.0384161073243393), (5, 0.03418119913909348)]}"
62,"[('dem > 0.41', -0.09786786753856176), ('slope <= -0.28', 0.06123791091677755), ('aspect <= -0.70', -0.036574504736532454), ('0.08 < nwdi <= 0.72', 0.03571081654345728), ('-0.75 < soils <= 1.32', 0.03229570984872875)]","{1: [(8, -0.09786786753856176), (4, 0.06123791091677755), (7, -0.036574504736532454), (1, 0.03571081654345728), (5, 0.03229570984872875)]}"
63,"[('dem > 0.41', -0.10481849486637936), ('nwdi <= -0.77', -0.062422249242349466), ('-0.82 < distancefromriver <= -0.43', 0.05711490422220002), ('slope <= -0.28', 0.05539105228115181), ('aspect <= -0.70', -0.04049710467816987)]","{1: [(8, -0.10481849486637936), (1, -0.062422249242349466), (2, 0.05711490422220002), (4, 0.05539105228115181), (7, -0.04049710467816987)]}"
64,"[('dem > 0.41', -0.10094272094820896), ('nwdi <= -0.77', -0.06440078190315171), ('slope > -0.28', -0.0584529621680973), ('tri <= -0.68', -0.040070191953911545), ('ndvi > 0.69', -0.02600520943767919)]","{1: [(8, -0.10094272094820896), (1, -0.06440078190315171), (4, -0.0584529621680973), (6, -0.040070191953911545), (0, -0.02600520943767919)]}"
65,"[('dem > 0.41', -0.10529209174522294), ('slope > -0.28', -0.05441945447701311), ('-0.75 < soils <= 1.32', 0.03079778242736627), ('-0.14 < ndvi <= 0.69', 0.01814887086996511), ('-0.56 < geology <= 1.00', -0.013529181831295447)]","{1: [(8, -0.10529209174522294), (4, -0.05441945447701311), (5, 0.03079778242736627), (0, 0.01814887086996511), (3, -0.013529181831295447)]}"
66,"[('aspect > 0.94', 0.11121156766131658), ('dem > 0.41', -0.10966065302196891), ('slope > -0.28', -0.055692697062185076), ('0.08 < nwdi <= 0.72', 0.04465703774394589), ('tri <= -0.68', -0.041878863820172106)]","{1: [(7, 0.11121156766131658), (8, -0.10966065302196891), (4, -0.055692697062185076), (1, 0.04465703774394589), (6, -0.041878863820172106)]}"
67,"[('dem > 0.41', -0.10837745045910673), ('aspect > 0.94', 0.10317655775539204), ('-0.82 < distancefromriver <= -0.43', 0.05731942676828803), ('slope <= -0.28', 0.05211423732137128), ('tri <= -0.68', -0.03650840981292911)]","{1: [(8, -0.10837745045910673), (7, 0.10317655775539204), (2, 0.05731942676828803), (4, 0.05211423732137128), (6, -0.03650840981292911)]}"
68,"[('aspect > 0.94', 0.10996759004952633), ('dem > 0.41', -0.10458550235920866), ('slope <= -0.28', 0.05358646685905396), ('0.08 < nwdi <= 0.72', 0.03647251037650843), ('tri <= -0.68', -0.03156486468886974)]","{1: [(7, 0.10996759004952633), (8, -0.10458550235920866), (4, 0.05358646685905396), (1, 0.03647251037650843), (6, -0.03156486468886974)]}"
69,"[('aspect > 0.94', 0.10997644891655659), ('dem > 0.41', -0.10221973415981071), ('nwdi <= -0.77', -0.06581621117911214), ('slope <= -0.28', 0.0525562858556126), ('tri <= -0.68', -0.042421038257429586)]","{1: [(7, 0.10997644891655659), (8, -0.10221973415981071), (1, -0.06581621117911214), (4, 0.0525562858556126), (6, -0.042421038257429586)]}"
70,"[('aspect > 0.94', 0.10857250731196086), ('dem > 0.41', -0.1016990851453449), ('slope > -0.28', -0.05477504932888967), ('-0.75 < soils <= 1.32', 0.03285980305925186), ('-0.77 < nwdi <= 0.08', -0.02423253237706346)]","{1: [(7, 0.10857250731196086), (8, -0.1016990851453449), (4, -0.05477504932888967), (5, 0.03285980305925186), (1, -0.02423253237706346)]}"
71,"[('dem > 0.41', -0.1091493312480324), ('aspect > 0.94', 0.10554045903051344), ('tri > 0.90', 0.09170984524972228), ('nwdi <= -0.77', -0.06285263351257438), ('slope > -0.28', -0.05929914514154378)]","{1: [(8, -0.1091493312480324), (7, 0.10554045903051344), (6, 0.09170984524972228), (1, -0.06285263351257438), (4, -0.05929914514154378)]}"
72,"[('dem > 0.41', -0.10249582399296298), ('slope > -0.28', -0.06635545942139649), ('tri <= -0.68', -0.04298244205332861), ('-0.75 < soils <= 1.32', 0.041058605820301276), ('-0.56 < geology <= 1.00', -0.02174064234178572)]","{1: [(8, -0.10249582399296298), (4, -0.06635545942139649), (6, -0.04298244205332861), (5, 0.041058605820301276), (3, -0.02174064234178572)]}"
73,"[('dem > 0.41', -0.10874748424413253), ('slope > -0.28', -0.05891054396564354), ('aspect <= -0.70', -0.04291608257440056), ('0.08 < nwdi <= 0.72', 0.03127125280887214), ('-0.72 < ndvi <= -0.14', 0.015759072737235532)]","{1: [(8, -0.10874748424413253), (4, -0.05891054396564354), (7, -0.04291608257440056), (1, 0.03127125280887214), (0, 0.015759072737235532)]}"
74,"[('dem > 0.41', -0.1072339897050818), ('nwdi <= -0.77', -0.06538840890719035), ('slope <= -0.28', 0.05206541557590011), ('aspect <= -0.70', -0.04108140182702422), ('ndvi > 0.69', -0.025791417468399833)]","{1: [(8, -0.1072339897050818), (1, -0.06538840890719035), (4, 0.05206541557590011), (7, -0.04108140182702422), (0, -0.025791417468399833)]}"
75,"[('dem > 0.41', -0.10057498535511884), ('nwdi <= -0.77', -0.0656866239455236), ('slope <= -0.28', 0.051255311605349345), ('aspect <= -0.70', -0.03977681416970516), ('ndvi > 0.69', -0.020591403673981577)]","{1: [(8, -0.10057498535511884), (1, -0.0656866239455236), (4, 0.051255311605349345), (7, -0.03977681416970516), (0, -0.020591403673981577)]}"
76,"[('dem > 0.41', -0.10501310613580606), ('-0.70 < aspect <= -0.16', -0.05908844118020528), ('slope > -0.28', -0.050570752708127), ('-0.14 < ndvi <= 0.69', 0.025664784654218484), ('-0.77 < nwdi <= 0.08', -0.019110605798145358)]","{1: [(8, -0.10501310613580606), (7, -0.05908844118020528), (4, -0.050570752708127), (0, 0.025664784654218484), (1, -0.019110605798145358)]}"
77,"[('dem > 0.41', -0.09827539113632276), ('nwdi <= -0.77', -0.06542113949905559), ('slope > -0.28', -0.05662528370562542), ('tri <= -0.68', -0.04584708593625715), ('ndvi > 0.69', -0.029291379272380305)]","{1: [(8, -0.09827539113632276), (1, -0.06542113949905559), (4, -0.05662528370562542), (6, -0.04584708593625715), (0, -0.029291379272380305)]}"
78,"[('dem > 0.41', -0.11101305247378375), ('nwdi <= -0.77', -0.06459657534855812), ('slope > -0.28', -0.04182009784828387), ('ndvi > 0.69', -0.02912341404928538), ('0.05 < tri <= 0.90', 0.006165135029115627)]","{1: [(8, -0.11101305247378375), (1, -0.06459657534855812), (4, -0.04182009784828387), (0, -0.02912341404928538), (6, 0.006165135029115627)]}"
79,"[('dem > 0.41', -0.10350715272164739), ('slope > -0.28', -0.05512853787247065), ('soils > 1.32', 0.02309543137341575), ('-0.77 < nwdi <= 0.08', -0.020053003001505792), ('-0.16 < aspect <= 0.94', -0.00709025225327126)]","{1: [(8, -0.10350715272164739), (4, -0.05512853787247065), (5, 0.02309543137341575), (1, -0.020053003001505792), (7, -0.00709025225327126)]}"
80,"[('aspect > 0.94', 0.10884209034719318), ('dem > 0.41', -0.10495012073485394), ('slope > -0.28', -0.055255110743645655), ('-0.77 < nwdi <= 0.08', -0.019236021379639996), ('-0.72 < ndvi <= -0.14', 0.008922587438484762)]","{1: [(7, 0.10884209034719318), (8, -0.10495012073485394), (4, -0.055255110743645655), (1, -0.019236021379639996), (0, 0.008922587438484762)]}"
81,"[('dem > 0.41', -0.09915170563387966), ('slope > -0.28', -0.0560055133854024), ('tri <= -0.68', -0.049378991579578674), ('-0.75 < soils <= 1.32', 0.039713390939242435), ('-0.56 < geology <= 1.00', -0.022069260195237365)]","{1: [(8, -0.09915170563387966), (4, -0.0560055133854024), (6, -0.049378991579578674), (5, 0.039713390939242435), (3, -0.022069260195237365)]}"
82,"[('dem > 0.41', -0.10040501660234555), ('nwdi <= -0.77', -0.06514104664004211), ('slope > -0.28', -0.060914272146870334), ('ndvi > 0.69', -0.02454194424054934), ('distancefromriver <= -0.82', 0.008651972731280077)]","{1: [(8, -0.10040501660234555), (1, -0.06514104664004211), (4, -0.060914272146870334), (0, -0.02454194424054934), (2, 0.008651972731280077)]}"
83,"[('dem > 0.41', -0.10875088937485937), ('slope > -0.28', -0.055087530997031384), ('soils <= -0.75', -0.04307266700012635), ('tri <= -0.68', -0.0375253659376476), ('0.08 < nwdi <= 0.72', 0.03420577026012351)]","{1: [(8, -0.10875088937485937), (4, -0.055087530997031384), (5, -0.04307266700012635), (6, -0.0375253659376476), (1, 0.03420577026012351)]}"
84,"[('dem > 0.41', -0.1052071428926804), ('tri > 0.90', 0.08325272471450255), ('slope <= -0.28', 0.0584201423496473), ('soils <= -0.75', -0.04086176139045118), ('-0.14 < ndvi <= 0.69', 0.026650566583792824)]","{1: [(8, -0.1052071428926804), (6, 0.08325272471450255), (4, 0.0584201423496473), (5, -0.04086176139045118), (0, 0.026650566583792824)]}"
85,"[('dem > 0.41', -0.10813943816547493), ('slope <= -0.28', 0.05810498464174671), ('aspect <= -0.70', -0.038464786833321475), ('0.08 < nwdi <= 0.72', 0.0342242848194747), ('-0.68 < tri <= 0.05', -0.014633670121075387)]","{1: [(8, -0.10813943816547493), (4, 0.05810498464174671), (7, -0.038464786833321475), (1, 0.0342242848194747), (6, -0.014633670121075387)]}"
86,"[('dem > 0.41', -0.10676538670537791), ('-0.70 < aspect <= -0.16', -0.05731375726391127), ('nwdi <= -0.77', -0.056890396778806016), ('slope > -0.28', -0.05188995248951795), ('tri <= -0.68', -0.04163792985566893)]","{1: [(8, -0.10676538670537791), (7, -0.05731375726391127), (1, -0.056890396778806016), (4, -0.05188995248951795), (6, -0.04163792985566893)]}"
87,"[('dem > 0.41', -0.10670764214611307), ('slope <= -0.28', 0.05500425238510681), ('aspect <= -0.70', -0.044234333622901745), ('0.08 < nwdi <= 0.72', 0.039865093765298926), ('-0.75 < soils <= 1.32', 0.0381702403728183)]","{1: [(8, -0.10670764214611307), (4, 0.05500425238510681), (7, -0.044234333622901745), (1, 0.039865093765298926), (5, 0.0381702403728183)]}"
88,"[('dem > 0.41', -0.10807857825375895), ('slope <= -0.28', 0.05527741820210037), ('aspect <= -0.70', -0.04120930306410712), ('-0.75 < soils <= 1.32', 0.035280966528190225), ('-0.56 < geology <= 1.00', -0.01819871624909878)]","{1: [(8, -0.10807857825375895), (4, 0.05527741820210037), (7, -0.04120930306410712), (5, 0.035280966528190225), (3, -0.01819871624909878)]}"
89,"[('dem > 0.41', -0.1107656444075015), ('aspect > 0.94', 0.10810342113863594), ('nwdi <= -0.77', -0.07334817855068759), ('slope <= -0.28', 0.06483816280832029), ('-0.82 < distancefromriver <= -0.43', 0.05685965675478077)]","{1: [(8, -0.1107656444075015), (7, 0.10810342113863594), (1, -0.07334817855068759), (4, 0.06483816280832029), (2, 0.05685965675478077)]}"
90,"[('dem > 0.41', -0.1016811758985316), ('slope <= -0.28', 0.051990628890125984), ('aspect <= -0.70', -0.047089351973399196), ('-0.14 < ndvi <= 0.69', 0.028343994871713636), ('-0.56 < geology <= 1.00', -0.020864084223184077)]","{1: [(8, -0.1016811758985316), (4, 0.051990628890125984), (7, -0.047089351973399196), (0, 0.028343994871713636), (3, -0.020864084223184077)]}"
91,"[('dem > 0.41', -0.10389656444665755), ('slope > -0.28', -0.059369313785717304), ('aspect <= -0.70', -0.04434932016839228), ('0.08 < nwdi <= 0.72', 0.03553297800031226), ('-0.75 < soils <= 1.32', 0.030256571371557534)]","{1: [(8, -0.10389656444665755), (4, -0.059369313785717304), (7, -0.04434932016839228), (1, 0.03553297800031226), (5, 0.030256571371557534)]}"
92,"[('aspect > 0.94', 0.10997365367943915), ('dem > 0.41', -0.10784492495401748), ('nwdi <= -0.77', -0.06569605379122401), ('slope > -0.28', -0.05817272350692475), ('ndvi > 0.69', -0.028797426446043713)]","{1: [(7, 0.10997365367943915), (8, -0.10784492495401748), (1, -0.06569605379122401), (4, -0.05817272350692475), (0, -0.028797426446043713)]}"
93,"[('dem > 0.41', -0.10343249158317706), ('nwdi <= -0.77', -0.06477362904710188), ('slope <= -0.28', 0.058968991283515605), ('tri <= -0.68', -0.046875581475812785), ('-0.75 < soils <= 1.32', 0.02914937785515041)]","{1: [(8, -0.10343249158317706), (1, -0.06477362904710188), (4, 0.058968991283515605), (6, -0.046875581475812785), (5, 0.02914937785515041)]}"
94,"[('dem > 0.41', -0.10444035231080408), ('slope <= -0.28', 0.057620572838703754), ('aspect <= -0.70', -0.044361579812203726), ('0.08 < nwdi <= 0.72', 0.033667609447698976), ('-0.75 < soils <= 1.32', 0.029880559203818127)]","{1: [(8, -0.10444035231080408), (4, 0.057620572838703754), (7, -0.044361579812203726), (1, 0.033667609447698976), (5, 0.029880559203818127)]}"
95,"[('dem > 0.41', -0.1047778468680757), ('slope <= -0.28', 0.054200319684879976), ('aspect <= -0.70', -0.043764660598764986), ('-0.75 < soils <= 1.32', 0.034547057831262176), ('-0.14 < ndvi <= 0.69', 0.024994880851397127)]","{1: [(8, -0.1047778468680757), (4, 0.054200319684879976), (7, -0.043764660598764986), (5, 0.034547057831262176), (0, 0.024994880851397127)]}"
96,"[('dem > 0.41', -0.10863194520943538), ('nwdi <= -0.77', -0.07464639864139022), ('slope > -0.28', -0.055951451238465066), ('tri <= -0.68', -0.03804875375171436), ('-0.75 < soils <= 1.32', 0.03348097497319806)]","{1: [(8, -0.10863194520943538), (1, -0.07464639864139022), (4, -0.055951451238465066), (6, -0.03804875375171436), (5, 0.03348097497319806)]}"
97,"[('aspect > 0.94', 0.10543978143326646), ('dem > 0.41', -0.10489834759348148), ('nwdi <= -0.77', -0.06630973935527927), ('-0.82 < distancefromriver <= -0.43', 0.0596910651544589), ('slope > -0.28', -0.05541725057459956)]","{1: [(7, 0.10543978143326646), (8, -0.10489834759348148), (1, -0.06630973935527927), (2, 0.0596910651544589), (4, -0.05541725057459956)]}"
98,"[('aspect > 0.94', 0.11074220103072271), ('dem > 0.41', -0.10229904615465937), ('slope > -0.28', -0.06525722519710506), ('tri <= -0.68', -0.03780710744823385), ('-0.77 < nwdi <= 0.08', -0.01824503429896188)]","{1: [(7, 0.11074220103072271), (8, -0.10229904615465937), (4, -0.06525722519710506), (6, -0.03780710744823385), (1, -0.01824503429896188)]}"
99,"[('dem > 0.41', -0.10772473088254195), ('slope > -0.28', -0.05739553561676049), ('0.08 < nwdi <= 0.72', 0.03860710163004447), ('-0.75 < soils <= 1.32', 0.027880147744780658), ('-0.56 < geology <= 1.00', -0.016837748122876302)]","{1: [(8, -0.10772473088254195), (4, -0.05739553561676049), (1, 0.03860710163004447), (5, 0.027880147744780658), (3, -0.016837748122876302)]}"
